Country.Code,Country.Name,Education.Level.PC1,Education.Level.PC2,EG_ELC_ACCS_ZS,EN_POP_SLUM_UR_ZS,FB_ATM_TOTL_P5,IC_ELC_TIME,IC_FRM_ISOC_ZS,IC_TAX_TOTL_CP_ZS,IQ_WEF_PORT_XQ,IT_NET_USER_P2,SE_ADT_1524_LT_MA_ZS,SE_XPD_TOTL_GD_ZS,SG_VAW_BURN_ZS,SH_DYN_AIDS_ZS,SH_DYN_MORT,SH_MED_PHYS_ZS,SH_TBS_PREV,SH_XPD_PCAP,SL_EMP_TOTL_SP_ZS,SL_TLF_SECO_ZS,SL_TLF_TOTL_IN,SN_ITK_DEFC_ZS,SP_POP_DPND,TM_TAX_MANF_SM_FN_ZS,UIS_EA_2_AG25T99,UIS_PTRHC_2,UIS_PTRHC_3,UIS_PTRHC_56,School.Years.PC1,School.Years.PC2,Edu.Literacy.PC1,Edu.Literacy.PC2,Pupils.Teacher.PC1,Pupils.Teacher.PC2,Cluster
EGY,"Egypt, Arab Rep.",-1.26406398289368e-016,2.02413491694831e-016,100,10.6,12.66749196,64,8.6,45,4.327892739,31.7,94.45025,3.76083,7,0.1,24,2.83,26,177.7683606,42.79999924,37.5,29596846,5,61.69004078,10.04,17.2916997526606,16.76445,8.82194,25.09249,-3.34923837699623,1.59052732165587,-0.447110916573927,-0.307916473928106,0.548977539162341,-0.988226080184637,2
FJI,Fiji,-1.10402681639824,0.514628830701406,59.32891,39.4148148148148,44.49419913,81,22.8,31.1,4.08418031936923,41.8,92.1344975833333,4.22044,9.45344827586207,0.1,22.4,0.426,110,204.0112117,50.59999847,36.7028846604423,347161,5,52.51697309,9.9,20.10984,26.24225,13.34818,28.54874,2.66639947266558,1.35221325012104,2.31305684410252e-016,-2.34565545074894e-015,-0.726010359072369,-0.806982470979127,2
GAB,Gabon,-1.26406398289368e-016,2.02413491694831e-016,89.3,37,14.3905458,148,18.6,45.7,3.174314548,9.81,87.76383,3.82709,10.6,3.9,50.8,0.292,615,321.3300907,49,36.7028846604423,645573,5,73.752431,17.27,17.2916997526606,18.1653428099174,15.549878907563,12.77436,-0.42627935074729,1.91898157939766,-0.122473655200514,-0.759664433618033,0.250585603674753,0.553954000675114,2
GTM,Guatemala,-5.04188292380027,-0.683483415254003,78.5,34.5,35.84024278,39,11.9,37.5,3.879777871,23.4,95.51033,2.84226,9.45344827586207,0.5,29.1,0.932,106,232.6252272,65.90000153,18.70000076,6827724,15.6,72.06971837,4.9,6.10108,14.25009,10.41592,27.70617,-5.83790955915831,-0.788411983069959,-0.232756379659691,5.56153100521634e-002,0.444538862718859,-1.20381955700145,2
GUY,Guyana,-3.24892143683595,1.82965711682498,79.46677,33.1,19.04754575,109,29.5,32.3,3.621834209,37.35,94.0505,3.19404,3.5,1.8,39.4,0.214,123,221.7832703,54.5,38.20000076,328686,10.6,53.06176426,8.88,0,19.57958,21.7405,13.10207,1.25284395040744,0.126675673446627,0.644149767242941,-0.274701706428871,-0.516407776730229,0.906659328934191,2
HND,Honduras,-3.54678785716589,1.33908232148094,82.2,27.5,24.64045897,39,16.3,44.3,4.62820501,19.08,96.232,5.87493,4.2,0.4,20.4,0.372,49,212.3151508,60.40000153,23.89999962,3373490,12.2,59.40097102,5.01,8.44529,9.52825,7.40113,19.93308,-3.46224355059381,6.75268457234219e-002,0.949445735117667,-0.34388590823777,1.41131183824047,-0.78163981545002,2
IDN,Indonesia,-1.79750063424726,0.528800206885509,96,21.8,49.62922175,79,2.9,29.7,3.812931974,17.14,98.86538,3.36659,2.5,0.5,27.2,0.204,647,99.41035911,63.5,26.60000038,124061112,7.6,49.45758634,7.23,15.54718,14.39243,16.85029,27.04396,-1.68197203643315,0.989260137710545,1.48006004062197,0.168580324390493,-0.219740350562163,-0.779589434228398,2
IND,India,-1.26406398289368e-016,2.02413491694831e-016,78.7,24,18.07498434,90.1,27.5,60.6,4.207172308,18,91.82743,3.8256,20.4,2.71460674157303,47.7,0.702,195,74.99460433,52.20000076,18.39999962,496960163,15.2,53.14193951,9.23,17.2916997526606,29.76622,32.05593,21.53122,-4.79635964360115,1.08193411433953,-1.09614847261199,-0.213508830428056,-2.66003876590235,0.973898529218048,2
IRN,"Iran, Islamic Rep.",-1.45171905288405,-0.639494750896837,100,30.3,56.58696918,77,18.6212962962963,44.1,3.904708967,39.35,98.53414,3.06152,9.45344827586207,0.1,15.5,0.89,33,350.7386071,39.59999847,25.29999924,27133460,5,39.83739069,28.25,20.46935,16.05594,18.46739,16.2704,2.34174959084472e-003,1.72018639949604,0.905669499137701,-4.14729630675225e-002,-5.85893898549761e-002,0.341923742221279,2
IRQ,Iraq,-1.26406398289368e-016,2.02413491694831e-016,100,47.2,1.487679508,77,4.2,27.8,4.08418031936923,11.3,82.42104,3.5515,9.45344827586207,2.71460674157303,32,0.607,67,292.0043788,35.40000153,36.7028846604423,8686537,22.8,79.22898589,7.6306993006993,17.2916997526606,18.83668,18.68712,22.09495,-4.07805742752358,1.67695985166281,-1.2101307175126,-0.360265213161907,-0.514775712088034,-0.10805436614395,2
JAM,Jamaica,-1.26406398289368e-016,2.02413491694831e-016,92.63344,60.5,32.50030884,95,16.5,35.2,4.65090092,40.5,94.20597,5.98413,9.45344827586207,1.6,15.7,0.411,5.9,266.1901164,55,36.7028846604423,1306181,8.1,49.4974173,5.45,17.2916997526606,19.36813,19.30821,22.81106,2.91574003677327,0.616007627055687,0.947478092724942,-0.770019302679723,-0.646865073576836,-0.125253987987383,2
